# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = logistic_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /Users/dveen5/Library/R/4.0/library/cmdstanr/logistic.data.json
# init = 2 (Default)
# random
#   seed = 793963399
# output
#   file = /var/folders/l_/g3sbvqqs3fjbln3tv95bwtbc0000gp/T/RtmpjnRyRe/logistic-202012301656-1-33579a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.769992
# Diagonal elements of inverse mass matrix:
# 0.0472752, 0.0699932, 0.0531202, 0.0894318
-65.777,0.926652,0.769992,2,3,0,67.7438,0.550584,-0.275104,-0.261009,0.4441,-0.475036,-0.663044,-0.526191,-0.613798,-1.17629,-0.408175,-0.861555,-0.24456,-0.471169,-0.643335,-0.254979,-0.60664,-0.952157,-0.453645,-0.315909,-0.282663,-1.38916,-0.397995,-0.279489,-0.215455,-0.234652,-0.410927,-0.287932,-0.211529,-0.695169,-1.28367,-0.272553,-0.403611,-0.825776,-0.470861,-0.355713,-0.381753,-0.693846,-0.119527,-0.817564,-0.308632,-0.593613,-0.500066,-0.289685,-0.499107,-1.25884,-0.604081,-0.428856,-1.12441,-0.418217,-0.810231,-0.523135,-0.347545,-0.330834,-1.11415,-0.334732,-0.91496,-0.326338,-0.440898,-0.656001,-0.282725,-0.533011,-0.667951,-0.777312,-0.997944,-0.478962,-0.812459,-0.151325,-1.08888,-1.82375,-0.439507,-0.304356,-1.19437,-0.402504,-0.451238,-0.887673,-0.80263,-0.885952,-0.973344,-0.937761,-0.436912,-1.01716,-0.49472,-0.618861,-0.753756,-0.396867,-0.487771,-0.366856,-0.324797,-0.225538,-0.695273,-0.957515,-1.04479,-0.779828,-0.487766,-0.67928,-1.35263,-0.774981,-0.363232,-0.331238,-1.34639,-0.398472,-0.697133,-0.922327,-0.410727
-67.5108,0.759884,0.769992,2,7,0,69.0817,0.488644,-0.9909,0.14541,1.01191,-0.408286,-0.193415,-0.139878,-0.532086,-1.71256,-0.599486,-0.591791,-0.443374,-0.84762,-0.372289,-0.21277,-0.334269,-0.536128,-0.103231,-0.110666,-0.244731,-1.77444,-0.58513,-0.171982,-0.0189887,-0.148141,-0.720146,-0.538069,-0.0671933,-0.401215,-1.59055,-0.274975,-0.420722,-1.21607,-1.10953,-0.568705,-0.297694,-0.255034,-0.0297254,-0.713759,-0.485719,-0.320926,-0.406555,-0.0318405,-0.808982,-0.969467,-1.2174,-0.490692,-1.48595,-0.179611,-0.430426,-0.205079,-0.276536,-0.241923,-1.36895,-0.241742,-0.937201,-0.424944,-0.178936,-0.199758,-0.655787,-0.547533,-0.467428,-1.9205,-1.17099,-0.486734,-1.00818,-0.0802307,-0.498986,-2.2588,-0.307407,-0.249349,-0.761786,-0.354753,-1.19108,-0.613004,-0.262867,-1.67291,-1.39485,-1.45065,-0.14146,-0.916786,-0.407242,-0.490763,-0.266426,-0.086727,-0.0523562,-0.228978,-0.124128,-0.0331952,-1.77863,-0.782948,-0.68221,-1.75053,-0.283395,-0.272076,-2.15023,-1.17063,-0.176192,-0.43289,-2.03272,-0.478863,-0.608722,-0.514118,-0.298823
-66.9304,0.991647,0.769992,3,7,0,68.5566,0.562676,-0.99915,-0.103512,1.15308,-0.412718,-0.197249,-0.200585,-0.408392,-1.75901,-0.495192,-0.606571,-0.253277,-0.732789,-0.501,-0.143709,-0.278025,-0.617468,-0.13782,-0.103808,-0.175651,-2.01805,-0.474804,-0.131132,-0.0184892,-0.0998986,-0.578052,-0.341048,-0.0487015,-0.365297,-1.76966,-0.187206,-0.368194,-1.03994,-0.914728,-0.424597,-0.267207,-0.255746,-0.0155071,-0.668879,-0.330776,-0.418382,-0.270624,-0.036327,-0.735851,-1.22323,-1.16549,-0.435812,-1.53197,-0.195226,-0.447921,-0.162748,-0.23171,-0.199765,-1.43183,-0.201341,-0.915145,-0.311033,-0.204267,-0.199953,-0.397909,-0.5703,-0.612454,-1.93295,-1.16749,-0.476433,-0.882144,-0.0417055,-0.669249,-2.82002,-0.310127,-0.189993,-0.987088,-0.320987,-0.94326,-0.639648,-0.303584,-1.87265,-1.31473,-1.32451,-0.169318,-0.982043,-0.425638,-0.594057,-0.288472,-0.062806,-0.0521222,-0.209579,-0.116356,-0.0297671,-1.71264,-0.827674,-0.805619,-1.80261,-0.196573,-0.263059,-2.28038,-0.960917,-0.169209,-0.319538,-2.18293,-0.403707,-0.768588,-0.581323,-0.285099
-64.2318,0.975839,0.769992,2,3,0,67.5851,0.433329,-0.765934,-0.16621,0.729605,-0.467014,-0.340971,-0.339803,-0.473125,-1.27981,-0.586916,-0.630704,-0.287481,-0.717203,-0.593842,-0.252913,-0.462247,-0.599258,-0.236345,-0.214223,-0.257554,-1.65354,-0.48618,-0.203302,-0.0606696,-0.185325,-0.5912,-0.345184,-0.102762,-0.443132,-1.57663,-0.289638,-0.425034,-0.814345,-0.754364,-0.497376,-0.382418,-0.363982,-0.0420445,-0.594211,-0.326995,-0.558806,-0.319965,-0.101468,-0.691786,-1.0752,-0.968539,-0.337615,-1.26409,-0.280291,-0.550627,-0.276855,-0.295018,-0.288575,-1.35308,-0.253534,-0.879793,-0.398597,-0.280016,-0.330733,-0.325503,-0.609506,-0.788279,-1.44532,-1.04549,-0.504785,-0.941082,-0.0944927,-0.793457,-2.00436,-0.441919,-0.254685,-0.98388,-0.403216,-0.698674,-0.58046,-0.386375,-1.48494,-1.05366,-1.25869,-0.272023,-0.891043,-0.418999,-0.66077,-0.469279,-0.127662,-0.148855,-0.298587,-0.216831,-0.0812599,-1.20968,-0.829054,-0.720349,-1.33203,-0.247595,-0.346916,-1.62435,-0.844192,-0.261708,-0.388189,-1.69329,-0.419476,-0.910443,-0.651247,-0.343894
-64.337,0.926816,0.769992,2,3,0,65.0543,0.220798,-0.554921,-0.288585,0.50725,-0.57982,-0.431659,-0.600631,-0.424337,-0.941159,-0.649348,-0.598479,-0.29638,-0.720172,-0.810008,-0.349334,-0.503379,-0.588016,-0.439528,-0.375081,-0.33855,-1.34978,-0.518078,-0.293427,-0.164297,-0.276482,-0.603962,-0.343804,-0.185495,-0.445159,-1.32774,-0.371755,-0.506679,-0.58943,-0.672854,-0.537325,-0.512199,-0.419902,-0.0841407,-0.50626,-0.338013,-0.793496,-0.285917,-0.250995,-0.704598,-0.988713,-0.901319,-0.355842,-0.999309,-0.432922,-0.574028,-0.32174,-0.383575,-0.393738,-1.14575,-0.33643,-0.755469,-0.461649,-0.434131,-0.410302,-0.288421,-0.71471,-1.03837,-1.22554,-0.861187,-0.593112,-0.794495,-0.152796,-0.868621,-1.59114,-0.604901,-0.332429,-0.971563,-0.509942,-0.583057,-0.529636,-0.450259,-1.37506,-0.792391,-0.99732,-0.459005,-0.780728,-0.509479,-0.827626,-0.567048,-0.173021,-0.259889,-0.421584,-0.364312,-0.186784,-0.995737,-0.759938,-0.675121,-1.15352,-0.241972,-0.384602,-1.17686,-0.631447,-0.399305,-0.443425,-1.29556,-0.471086,-1.12126,-0.664402,-0.451311
-64.4714,0.917929,0.769992,3,7,0,65.2359,0.438253,-0.807736,-0.103734,0.715589,-0.45315,-0.330764,-0.296147,-0.50416,-1.29547,-0.619101,-0.624161,-0.321843,-0.751176,-0.54113,-0.269955,-0.487036,-0.567029,-0.203669,-0.20576,-0.267975,-1.65047,-0.505044,-0.204076,-0.053258,-0.193484,-0.626174,-0.378025,-0.10067,-0.446064,-1.59365,-0.310045,-0.428496,-0.860322,-0.801051,-0.534525,-0.383274,-0.353007,-0.0431043,-0.597095,-0.347575,-0.515627,-0.345965,-0.0876742,-0.709269,-1.02286,-0.993675,-0.325454,-1.28875,-0.25817,-0.541933,-0.284408,-0.29381,-0.289976,-1.39065,-0.249599,-0.901698,-0.424842,-0.253371,-0.321011,-0.358215,-0.59683,-0.745793,-1.48107,-1.07188,-0.49608,-1.00818,-0.10237,-0.744715,-1.91731,-0.432669,-0.258746,-0.934014,-0.402229,-0.746008,-0.562736,-0.358545,-1.47414,-1.09486,-1.34671,-0.244342,-0.884079,-0.39537,-0.623859,-0.457895,-0.1278,-0.139445,-0.291303,-0.207368,-0.0741582,-1.24412,-0.827341,-0.681736,-1.34684,-0.259198,-0.337419,-1.6393,-0.910965,-0.249897,-0.410891,-1.71656,-0.42536,-0.874751,-0.629953,-0.332245
