# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 2436179948 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.954401
# Diagonal elements of inverse mass matrix:
# 0.460874
-9.76776,0.598036,0.954401,2,7,0,9.76921,0.0441349
-11.0581,0.943039,0.954401,1,1,0,11.0625,0.0272367
-6.86931,1,0.954401,2,3,0,10.4245,0.192046
-6.75021,0.999018,0.954401,1,3,0,6.86807,0.241795
-8.09682,0.657287,0.954401,2,3,0,9.18675,0.0889769
-8.11727,0.999308,0.954401,2,3,0,8.30515,0.0881251
-8.60441,0.955556,0.954401,1,1,0,8.65881,0.0708048
-8.59434,1,0.954401,1,1,0,8.8412,0.071114
-7.08629,0.954939,0.954401,1,3,0,8.59752,0.157636
-9.24128,0.758103,0.954401,1,3,0,9.80541,0.0543193
-6.76121,1,0.954401,2,3,0,8.79602,0.230078
-7.24501,0.792016,0.954401,2,3,0,8.19458,0.140987
-6.93312,0.987588,0.954401,2,3,0,7.43345,0.179533
-6.78537,0.997806,0.954401,1,3,0,6.90666,0.216919
-7.15986,0.904569,0.954401,1,3,0,7.40594,0.373008
-6.76706,1,0.954401,2,3,0,7.11708,0.226153
-8.11019,0.739936,0.954401,1,3,0,8.50243,0.482066
-7.13035,0.800592,0.954401,1,3,0,9.45621,0.152567
-6.75243,0.949512,0.954401,2,3,0,7.63642,0.261863
-6.89948,0.95695,0.954401,1,3,0,6.99269,0.185744
